est,se,outcome,brate,ub,lb,ub_unadj,lb_unadj,smokePM_bin
-0.4240459324741181,0.2931606625272068,Circulatory - IHD,0.08,0.30818305920244465,-1.1562749241506804,0.004652835725060346,-0.07250018492091928,50+
0.007586529096089966,0.006777566165717237,Injury - Fracture,2.29,0.024514893211393992,-0.00934183501921405,0.04290231045319241,-0.008156007193100386,0-5
-0.03291235075878222,0.01419621122255419,Injury - Fracture,2.29,0.002545603727705753,-0.06837030524527017,-0.021896204240504043,-0.12884236223471857,5-10
-0.03315779756523221,0.020352712067220495,Injury - Fracture,2.29,0.0176772827842032,-0.0839928779146676,7.315054557507916e-4,-0.15259421830451436,10-25
-0.11121028090841997,0.034530031351530925,Injury - Fracture,2.29,-0.02496443257007029,-0.19745612924676958,-0.12460676294653347,-0.3847363236140301,25-50
-0.16992424501130005,0.06344896806687579,Injury - Fracture,2.29,-0.011447410124848487,-0.3284010798977515,-0.1501323536507923,-0.6281206885009621,50+
0.047122510743512196,0.012092222145941743,Injury - Superficial,0.71,0.07732532019524142,0.016919701291782982,0.04757883680069883,0.01933512845508847,0-5
-0.0028888352889764888,0.024493545861708158,Injury - Superficial,0.71,0.05828882829758252,-0.06406649887553546,0.02655361834557503,-0.030655764455921664,5-10
-0.011134534413455233,0.03703597632392672,Injury - Superficial,0.71,0.0813704264010236,-0.103639495227934,0.035346800155157565,-0.05115783902226402,10-25
-0.18626913076902893,0.07076774557342398,Injury - Superficial,0.71,-0.009512145238465795,-0.36302611629959197,-0.04960524893189651,-0.21489691676012462,25-50
-0.26439671684137867,0.11556702240611119,Injury - Superficial,0.71,0.024255667683902714,-0.5530491013666599,-0.05275717542530034,-0.3226861624894575,50+
0.022571488843196735,0.005531149125396762,Symptoms - Abdominal,4.01,0.03638667029349144,0.008756307392902037,0.12699437236869338,0.05402896815374441,0-5
0.0045007134647256745,0.011700633985108197,Symptoms - Abdominal,4.01,0.03372545102342588,-0.024724024093974523,0.09522364028817779,-0.05912791830107794,5-10
0.008400657688424016,0.015994252645118955,Symptoms - Abdominal,4.01,0.04834959007927222,-0.03154827470242417,0.13918253727012564,-0.0718092626089651,10-25
-0.14895596133221073,0.03035445531488241,Symptoms - Abdominal,4.01,-0.07313947211942316,-0.22477245054499825,-0.397099574907694,-0.7975272349766361,25-50
-0.19488342446935128,0.05128859301648683,Symptoms - Abdominal,4.01,-0.0667796249171639,-0.3229872240215386,-0.4431899968620295,-1.119775067382168,50+
-0.019650208141538367,0.013880462923307387,Symptoms - Cough,0.44,0.015019100089384474,-0.05431951637246119,0.0013996935223168552,-0.018691876686870626,0-5
-0.05459734029084016,0.02848244837857054,Symptoms - Cough,0.44,0.016543426948983312,-0.12573810753066358,-0.0034090679791917537,-0.0446365914767476,5-10
0.11502950157114243,0.040601467309842994,Symptoms - Cough,0.44,0.2164400087401123,0.013618994402172594,0.07999770782752728,0.02122825355507803,10-25
0.0927395256195833,0.07829118551083154,Symptoms - Cough,0.44,0.28828784826822196,-0.10280879702905524,0.09746750906877823,-0.015856726523544952,25-50
0.4581577311940139,0.15638755209003136,Symptoms - Cough,0.44,0.8487677761792356,0.0675476862087925,0.31477263992212023,0.0884061635286119,50+
